#Volume (Ang^3)	Energy (kJ/mol)
337.5084727638	-813847.161824051
333.6545737512	-813849.994611578
329.9530234383	-813852.458241213
326.6364866376	-813854.4037375
324.2184826411	-813855.683014383
322.0134793459	-813856.72385706
319.8227610568	-813857.643199512
317.9839814526	-813858.269129995
315.871534327	-813858.868864404
314.1042686636	-813859.276289665
312.3563114678	-813859.544562937
310.7285468899	-813859.744351938
309.0801253634	-813859.847802811
307.3184018081	-813859.830853479
306.281360756	-813859.705462872
303.4958142246	-813859.267875224
302.1723765845	-813858.918907758
300.7585018162	-813858.462832007
299.5113644829	-813857.982559943
298.0283319107	-813857.383118861
296.8109648856	-813856.747591871
295.5860404403	-813856.042554212
294.40526022	-813855.299622088
293.2561618906	-813854.470580853
292.1493702956	-813853.630421403
288.9527149248	-813850.783038875
286.951332239	-813848.6884479
284.1779664907	-813845.3419374
282.3815825319	-813842.960065519
278.18712542	-813836.35696641
274.6813715637	-813829.823244371
271.16745273	-813822.221461368
267.537386721	-813813.10450658

