#Temperature (K)     Optimal Volume (Ang^3)    Free Energy (kJ/mol)    Entropy (J/(mol K))    Enthalpy (kJ/mol)    Fvib (kJ/mol)    Internal Energy (kJ/mol)
0.000000   314.209675   -813008.807902   0.000000   850.439524   850.439524     -813859.247427
25.000000   314.238663   -813008.847991   7.128131   850.571862   850.393659     -813859.241650
50.000000   314.459349   -813009.365968   36.734341   851.667453   849.830736     -813859.196705
75.000000   314.868222   -813010.751501   74.664160   853.957453   848.357641     -813859.109142
100.000000   315.405282   -813013.105378   113.505963   857.230950   845.880354     -813858.985732
125.000000   316.028610   -813016.414499   150.928068   861.282205   842.416196     -813858.830695
150.000000   316.713726   -813020.636877   186.574705   865.995224   838.009019     -813858.645895
175.000000   317.446388   -813025.729920   220.624628   871.311286   832.701976     -813858.431896
200.000000   318.217835   -813031.657064   253.347421   877.201054   826.531570     -813858.188634
225.000000   319.022857   -813038.388327   284.992218   883.650500   819.527251     -813857.915578
250.000000   319.857905   -813045.899420   315.764265   890.653708   811.712642     -813857.612061
275.000000   320.721082   -813054.170624   345.824555   898.208239   803.106486     -813857.277110
300.000000   321.610916   -813063.185730   375.293560   906.312115   793.724047     -813856.909777
